Á	&Aacute;
á	&aacute;
Â	&Acirc;
â	&acirc;
Æ	&AElig;
æ	&aelig;
À	&Agrave;
à	&agrave;
Å	&Aring;
å	&aring;
Ã	&Atilde;
ã	&atilde;
Ä	&Auml;
ä	&auml;
Ç	&Ccedil;
ç	&ccedil;
É	&Eacute;
é	&eacute;
Ê	&Ecirc;
ê	&ecirc;
È	&Egrave;
è	&egrave;
Ð	&ETH;
ð	&eth;
Ë	&Euml;
ë	&euml;
Í	&Iacute;
í	&iacute;
Î	&Icirc;
î	&icirc;
Ì	&Igrave;
ì	&igrave;
Ï	&Iuml;
ï	&iuml;
Ñ	&Ntilde;
ñ	&ntilde;
Ó	&Oacute;
ó	&oacute;
Ô	&Ocirc;
ô	&ocirc;
Œ	&OElig;
œ	&oelig;
Ò	&Ograve;
ò	&ograve;
Ø	&Oslash;
ø	&oslash;
Õ	&Otilde;
õ	&otilde;
Ö	&Ouml;
ö	&ouml;
ß	&szlig;
Þ	&THORN;
þ	&thorn;
Ú	&Uacute;
ú	&uacute;
Û	&Ucirc;
û	&ucirc;
Ù	&Ugrave;
ù	&ugrave;
Ü	&Uuml;
ü	&uuml;
Ý	&Yacute;
ý	&yacute;
Ÿ	&Yuml;
ÿ	&yuml;
